Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
1-Apr-20,8584.1,8588.1,8198.35,8253.8,507509685,21307.3
3-Apr-20,8356.55,8356.55,8055.8,8083.8,697752438,26561.18
7-Apr-20,8446.3,8819.4,8360.95,8792.2,815245226,35206.69
8-Apr-20,8688.9,9131.7,8653.9,8748.75,897562690,37641.68
9-Apr-20,8973.05,9128.35,8904.55,9111.9,743036134,32907.82
13-Apr-20,9103.95,9112.05,8912.4,8993.85,644468815,26749.06
15-Apr-20,9196.4,9261.2,8874.1,8925.3,880159358,41878.64
16-Apr-20,8851.25,9053.75,8821.9,8992.8,720116479,31318.29
17-Apr-20,9323.45,9324,9091.35,9266.75,684910520,33334.73
20-Apr-20,9390.2,9390.85,9230.8,9261.85,726364699,28620.91
21-Apr-20,9016.95,9044.4,8909.4,8981.45,655122903,28273.89
22-Apr-20,9026.75,9209.75,8946.25,9187.3,734383388,33981.82
23-Apr-20,9232.35,9343.6,9170.15,9313.9,666650462,30270.55
24-Apr-20,9163.9,9296.9,9141.3,9154.4,659439249,32859.05
27-Apr-20,9259.7,9377.1,9250.35,9282.3,512793298,26696.54
28-Apr-20,9389.8,9404.4,9260,9380.9,614548983,30091.41
29-Apr-20,9408.6,9599.85,9392.35,9553.35,653026950,31673.23
30-Apr-20,9753.5,9889.05,9731.5,9859.9,931173802,39332.46
4-May-20,9533.5,9533.5,9266.95,9293.5,687487134,29785.95
5-May-20,9429.4,9450.9,9190.75,9205.6,725196178,29700.2
6-May-20,9226.8,9346.9,9116.5,9270.9,722185448,30798.1
7-May-20,9234.05,9277.85,9175.9,9199.05,708740416,59705.53
8-May-20,9376.95,9382.65,9238.2,9251.5,609053504,30743.45
11-May-20,9348.15,9439.9,9219.95,9239.2,704647074,31048.47
12-May-20,9168.85,9240.85,9043.95,9196.55,805458787,37706.27
13-May-20,9584.2,9584.5,9351.1,9383.55,846395245,36488.9
14-May-20,9213.95,9281.1,9119.75,9142.75,602555564,29541.59
15-May-20,9182.4,9182.4,9050,9136.85,575857112,25847.33
18-May-20,9158.3,9158.3,8806.75,8823.25,772983297,33347.46
19-May-20,8961.7,9030.35,8855.3,8879.1,762152894,32026.94
20-May-20,8889.15,9093.8,8875.35,9066.55,622308140,30721.99
21-May-20,9079.45,9178.55,9056.1,9106.25,631542699,28303.51
22-May-20,9067.9,9149.6,8968.55,9039.25,675759336,31625.47
26-May-20,9099.75,9161.65,8996.65,9029.05,654959960,30871.59
27-May-20,9082.2,9334,9004.25,9314.95,763492487,34603.88
28-May-20,9364.95,9511.25,9336.5,9490.1,837911425,37761.91
29-May-20,9422.2,9598.85,9376.9,9580.3,967005438,45006.25
1-Jun-20,9726.85,9931.6,9706.95,9826.15,794183122,38096.92
2-Jun-20,9880.85,9995.6,9824.05,9979.1,770192848,36723.11
3-Jun-20,10108.3,10176.2,10035.55,10061.55,794664422,38343.61
4-Jun-20,10054.25,10123.85,9944.25,10029.1,775106567,36399.04
5-Jun-20,10093.8,10177.8,10040.75,10142.15,987122302,37824.63
8-Jun-20,10326.75,10328.5,10120.25,10167.45,936485541,37819.06
9-Jun-20,10181.15,10291.15,10021.45,10046.65,754217460,36201.05
10-Jun-20,10072.6,10148.75,10036.85,10116.15,632383068,28485.47
11-Jun-20,10094.1,10112.05,9885.05,9902,715453486,30813.85
12-Jun-20,9544.95,9996.05,9544.35,9972.9,796306399,36505.77
15-Jun-20,9919.35,9943.35,9726.35,9813.7,716053036,31926.65
16-Jun-20,10014.8,10046.15,9728.5,9914,899895044,36257.89
17-Jun-20,9876.7,10003.6,9833.8,9881.15,685418390,30700.69
18-Jun-20,9863.25,10111.2,9845.05,10091.65,622895963,28594.32
19-Jun-20,10119,10272.4,10072.65,10244.4,892096343,48103.56
22-Jun-20,10318.75,10393.65,10277.6,10311.2,685385093,35529.8
23-Jun-20,10347.95,10484.7,10301.75,10471,669195109,34148.13
24-Jun-20,10529.25,10553.15,10281.95,10305.3,854799801,41394.45
25-Jun-20,10235.55,10361.8,10194.5,10288.9,994190886,41726.07
26-Jun-20,10378.9,10409.85,10311.25,10383,671910159,31841.68
29-Jun-20,10311.95,10337.95,10223.6,10312.4,574544482,27019.46
30-Jun-20,10382.6,10401.05,10267.35,10302.1,556238560,27342.55
1-Jul-20,10323.8,10447.05,10299.6,10430.05,573550127,28736.28
2-Jul-20,10493.05,10598.2,10485.55,10551.7,597423931,31235.17
3-Jul-20,10614.95,10631.3,10562.65,10607.35,525190704,25186.39
6-Jul-20,10723.85,10811.4,10695.1,10763.65,571212914,29857.54
7-Jul-20,10802.85,10813.8,10689.7,10799.65,636764929,36502.37
8-Jul-20,10818.65,10847.85,10676.55,10705.75,767941333,37676.34
9-Jul-20,10755.55,10836.85,10733,10813.45,618652409,31315.87
10-Jul-20,10764.1,10819.4,10713,10768.05,590705425,31557.58
13-Jul-20,10851.85,10894.05,10756.05,10802.7,554050579,30606.3
14-Jul-20,10750.85,10755.65,10562.9,10607.35,532368699,30902.47
15-Jul-20,10701,10827.45,10577.75,10618.2,715901258,42376.03
16-Jul-20,10706.2,10755.3,10595.2,10739.95,694402635,41453.95
17-Jul-20,10752,10933.45,10749.65,10901.7,676881092,35592.83
20-Jul-20,10999.45,11037.9,10953,11022.2,554306867,32738.64
21-Jul-20,11126.1,11179.55,11113.25,11162.25,771998838,42461.89
22-Jul-20,11231.2,11238.1,11056.55,11132.6,765074288,41068.72
23-Jul-20,11135,11239.8,11103.15,11215.45,621575333,32744.93
24-Jul-20,11149.95,11225.4,11090.3,11194.15,678935175,40217.17
27-Jul-20,11225,11225,11087.85,11131.8,588148687,34539.73
